agent,scenario,from_level,to_level,transition,new_information,delta_B_pp
45,1,2,3,L2→L3,Forced gang membership,5.000000000000007
46,1,2,3,L2→L3,Forced gang membership,5.000000000000007
47,1,2,3,L2→L3,Forced gang membership,5.000000000000007
48,1,2,3,L2→L3,Forced gang membership,10.0
49,1,2,3,L2→L3,Forced gang membership,-3.000000000000007
50,1,2,3,L2→L3,Forced gang membership,10.0
1,1,3,4,L3→L4,Illegal gambling debts,10.0
2,1,3,4,L3→L4,Illegal gambling debts,10.0
3,1,3,4,L3→L4,Illegal gambling debts,0.0
4,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
5,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
6,1,3,4,L3→L4,Illegal gambling debts,10.0
7,1,3,4,L3→L4,Illegal gambling debts,0.0
8,1,3,4,L3→L4,Illegal gambling debts,10.0
9,1,3,4,L3→L4,Illegal gambling debts,10.0
10,1,3,4,L3→L4,Illegal gambling debts,10.0
11,1,3,4,L3→L4,Illegal gambling debts,10.0
12,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
13,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
14,1,3,4,L3→L4,Illegal gambling debts,10.0
15,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
16,1,3,4,L3→L4,Illegal gambling debts,10.0
17,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
18,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
19,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
20,1,3,4,L3→L4,Illegal gambling debts,5.0
21,1,3,4,L3→L4,Illegal gambling debts,5.0
22,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
23,1,3,4,L3→L4,Illegal gambling debts,10.0
24,1,3,4,L3→L4,Illegal gambling debts,10.0
25,1,3,4,L3→L4,Illegal gambling debts,0.0
26,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
27,1,3,4,L3→L4,Illegal gambling debts,10.0
28,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
29,1,3,4,L3→L4,Illegal gambling debts,-10.0
30,1,3,4,L3→L4,Illegal gambling debts,5.0
31,1,3,4,L3→L4,Illegal gambling debts,-1.0
32,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
33,1,3,4,L3→L4,Illegal gambling debts,5.0
34,1,3,4,L3→L4,Illegal gambling debts,10.0
35,1,3,4,L3→L4,Illegal gambling debts,10.0
36,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
37,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
38,1,3,4,L3→L4,Illegal gambling debts,-4.999999999999993
39,1,3,4,L3→L4,Illegal gambling debts,0.0
40,1,3,4,L3→L4,Illegal gambling debts,5.0
41,1,3,4,L3→L4,Illegal gambling debts,0.0
42,1,3,4,L3→L4,Illegal gambling debts,0.0
43,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
44,1,3,4,L3→L4,Illegal gambling debts,0.0
45,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
46,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
47,1,3,4,L3→L4,Illegal gambling debts,4.999999999999993
48,1,3,4,L3→L4,Illegal gambling debts,10.0
49,1,3,4,L3→L4,Illegal gambling debts,-2.0
50,1,3,4,L3→L4,Illegal gambling debts,5.0
1,1,4,5,L4→L5,Gambling for child's cancer care,10.0
2,1,4,5,L4→L5,Gambling for child's cancer care,10.0
3,1,4,5,L4→L5,Gambling for child's cancer care,10.0
4,1,4,5,L4→L5,Gambling for child's cancer care,10.0
5,1,4,5,L4→L5,Gambling for child's cancer care,10.0
6,1,4,5,L4→L5,Gambling for child's cancer care,10.0
7,1,4,5,L4→L5,Gambling for child's cancer care,10.0
8,1,4,5,L4→L5,Gambling for child's cancer care,10.0
9,1,4,5,L4→L5,Gambling for child's cancer care,10.0
10,1,4,5,L4→L5,Gambling for child's cancer care,10.0
11,1,4,5,L4→L5,Gambling for child's cancer care,5.0
12,1,4,5,L4→L5,Gambling for child's cancer care,5.0
13,1,4,5,L4→L5,Gambling for child's cancer care,5.0
14,1,4,5,L4→L5,Gambling for child's cancer care,10.0
15,1,4,5,L4→L5,Gambling for child's cancer care,10.0
16,1,4,5,L4→L5,Gambling for child's cancer care,10.0
17,1,4,5,L4→L5,Gambling for child's cancer care,5.0
18,1,4,5,L4→L5,Gambling for child's cancer care,10.0
19,1,4,5,L4→L5,Gambling for child's cancer care,5.0
20,1,4,5,L4→L5,Gambling for child's cancer care,5.0
21,1,4,5,L4→L5,Gambling for child's cancer care,5.0
22,1,4,5,L4→L5,Gambling for child's cancer care,10.0
23,1,4,5,L4→L5,Gambling for child's cancer care,10.0
24,1,4,5,L4→L5,Gambling for child's cancer care,10.0
25,1,4,5,L4→L5,Gambling for child's cancer care,10.0
26,1,4,5,L4→L5,Gambling for child's cancer care,10.0
27,1,4,5,L4→L5,Gambling for child's cancer care,10.0
28,1,4,5,L4→L5,Gambling for child's cancer care,10.0
29,1,4,5,L4→L5,Gambling for child's cancer care,40.0
30,1,4,5,L4→L5,Gambling for child's cancer care,5.0
31,1,4,5,L4→L5,Gambling for child's cancer care,-1.0
32,1,4,5,L4→L5,Gambling for child's cancer care,5.0
33,1,4,5,L4→L5,Gambling for child's cancer care,5.0
34,1,4,5,L4→L5,Gambling for child's cancer care,10.0
35,1,4,5,L4→L5,Gambling for child's cancer care,10.0
36,1,4,5,L4→L5,Gambling for child's cancer care,10.0
37,1,4,5,L4→L5,Gambling for child's cancer care,10.0
38,1,4,5,L4→L5,Gambling for child's cancer care,9.999999999999993
39,1,4,5,L4→L5,Gambling for child's cancer care,10.0
40,1,4,5,L4→L5,Gambling for child's cancer care,5.0
41,1,4,5,L4→L5,Gambling for child's cancer care,10.0
42,1,4,5,L4→L5,Gambling for child's cancer care,10.0
43,1,4,5,L4→L5,Gambling for child's cancer care,10.0
44,1,4,5,L4→L5,Gambling for child's cancer care,10.0
45,1,4,5,L4→L5,Gambling for child's cancer care,5.0
46,1,4,5,L4→L5,Gambling for child's cancer care,5.0
47,1,4,5,L4→L5,Gambling for child's cancer care,10.0
48,1,4,5,L4→L5,Gambling for child's cancer care,10.0
49,1,4,5,L4→L5,Gambling for child's cancer care,20.0
50,1,4,5,L4→L5,Gambling for child's cancer care,5.0
1,2,1,2,L1→L2,Pregnancy loss,10.0
2,2,1,2,L1→L2,Pregnancy loss,5.000000000000007
3,2,1,2,L1→L2,Pregnancy loss,10.0
4,2,1,2,L1→L2,Pregnancy loss,10.0
5,2,1,2,L1→L2,Pregnancy loss,5.000000000000007
6,2,1,2,L1→L2,Pregnancy loss,10.0
7,2,1,2,L1→L2,Pregnancy loss,10.0
8,2,1,2,L1→L2,Pregnancy loss,10.0
9,2,1,2,L1→L2,Pregnancy loss,10.0
10,2,1,2,L1→L2,Pregnancy loss,10.0
11,2,1,2,L1→L2,Pregnancy loss,10.0
12,2,1,2,L1→L2,Pregnancy loss,5.000000000000007
13,2,1,2,L1→L2,Pregnancy loss,10.0
14,2,1,2,L1→L2,Pregnancy loss,10.0
15,2,1,2,L1→L2,Pregnancy loss,10.0
16,2,1,2,L1→L2,Pregnancy loss,10.0
17,2,1,2,L1→L2,Pregnancy loss,10.0
18,2,1,2,L1→L2,Pregnancy loss,5.000000000000007
19,2,1,2,L1→L2,Pregnancy loss,10.0
20,2,1,2,L1→L2,Pregnancy loss,10.0
21,2,1,2,L1→L2,Pregnancy loss,5.000000000000007
22,2,1,2,L1→L2,Pregnancy loss,10.0
23,2,1,2,L1→L2,Pregnancy loss,10.0
24,2,1,2,L1→L2,Pregnancy loss,10.0
25,2,1,2,L1→L2,Pregnancy loss,10.0
26,2,1,2,L1→L2,Pregnancy loss,10.0
27,2,1,2,L1→L2,Pregnancy loss,10.0
28,2,1,2,L1→L2,Pregnancy loss,10.0
29,2,1,2,L1→L2,Pregnancy loss,10.0
30,2,1,2,L1→L2,Pregnancy loss,10.0
31,2,1,2,L1→L2,Pregnancy loss,10.0
32,2,1,2,L1→L2,Pregnancy loss,10.0
33,2,1,2,L1→L2,Pregnancy loss,10.0
34,2,1,2,L1→L2,Pregnancy loss,10.0
35,2,1,2,L1→L2,Pregnancy loss,5.000000000000007
36,2,1,2,L1→L2,Pregnancy loss,10.0
37,2,1,2,L1→L2,Pregnancy loss,10.0
38,2,1,2,L1→L2,Pregnancy loss,10.0
39,2,1,2,L1→L2,Pregnancy loss,10.0
40,2,1,2,L1→L2,Pregnancy loss,10.0
41,2,1,2,L1→L2,Pregnancy loss,10.0
42,2,1,2,L1→L2,Pregnancy loss,10.0
43,2,1,2,L1→L2,Pregnancy loss,10.0
44,2,1,2,L1→L2,Pregnancy loss,10.0
45,2,1,2,L1→L2,Pregnancy loss,10.0
46,2,1,2,L1→L2,Pregnancy loss,10.0
47,2,1,2,L1→L2,Pregnancy loss,10.0
48,2,1,2,L1→L2,Pregnancy loss,10.0
49,2,1,2,L1→L2,Pregnancy loss,10.0
50,2,1,2,L1→L2,Pregnancy loss,10.0
1,2,2,3,L2→L3,Abortion,-5.0
2,2,2,3,L2→L3,Abortion,0.0
3,2,2,3,L2→L3,Abortion,-5.0
4,2,2,3,L2→L3,Abortion,-10.0
5,2,2,3,L2→L3,Abortion,0.0
6,2,2,3,L2→L3,Abortion,-4.999999999999993
7,2,2,3,L2→L3,Abortion,-10.0
8,2,2,3,L2→L3,Abortion,-10.0
9,2,2,3,L2→L3,Abortion,-5.0
10,2,2,3,L2→L3,Abortion,0.0
11,2,2,3,L2→L3,Abortion,0.0
12,2,2,3,L2→L3,Abortion,0.0
13,2,2,3,L2→L3,Abortion,-4.999999999999993
14,2,2,3,L2→L3,Abortion,-4.999999999999993
15,2,2,3,L2→L3,Abortion,0.0
16,2,2,3,L2→L3,Abortion,-4.999999999999993
17,2,2,3,L2→L3,Abortion,-10.0
18,2,2,3,L2→L3,Abortion,0.0
19,2,2,3,L2→L3,Abortion,-10.0
20,2,2,3,L2→L3,Abortion,-10.0
21,2,2,3,L2→L3,Abortion,-5.000000000000007
22,2,2,3,L2→L3,Abortion,0.0
23,2,2,3,L2→L3,Abortion,0.0
24,2,2,3,L2→L3,Abortion,-4.999999999999993
25,2,2,3,L2→L3,Abortion,-5.0
26,2,2,3,L2→L3,Abortion,-4.999999999999993
27,2,2,3,L2→L3,Abortion,-4.999999999999993
28,2,2,3,L2→L3,Abortion,-4.999999999999993
29,2,2,3,L2→L3,Abortion,-4.999999999999993
30,2,2,3,L2→L3,Abortion,0.0
31,2,2,3,L2→L3,Abortion,0.0
32,2,2,3,L2→L3,Abortion,-4.999999999999993
33,2,2,3,L2→L3,Abortion,0.0
34,2,2,3,L2→L3,Abortion,10.0
35,2,2,3,L2→L3,Abortion,0.0
36,2,2,3,L2→L3,Abortion,0.0
37,2,2,3,L2→L3,Abortion,0.0
38,2,2,3,L2→L3,Abortion,-10.0
39,2,2,3,L2→L3,Abortion,-5.0
40,2,2,3,L2→L3,Abortion,-5.0
41,2,2,3,L2→L3,Abortion,-5.0
42,2,2,3,L2→L3,Abortion,-5.0
43,2,2,3,L2→L3,Abortion,-5.0
44,2,2,3,L2→L3,Abortion,-10.0
45,2,2,3,L2→L3,Abortion,-10.0
46,2,2,3,L2→L3,Abortion,-10.0
47,2,2,3,L2→L3,Abortion,-10.0
48,2,2,3,L2→L3,Abortion,-10.0
49,2,2,3,L2→L3,Abortion,-10.0
50,2,2,3,L2→L3,Abortion,-10.0
1,2,3,4,L3→L4,Life-saving medical abortion,5.0
2,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
3,2,3,4,L3→L4,Life-saving medical abortion,5.0
4,2,3,4,L3→L4,Life-saving medical abortion,10.0
5,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
6,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
7,2,3,4,L3→L4,Life-saving medical abortion,10.0
8,2,3,4,L3→L4,Life-saving medical abortion,10.0
9,2,3,4,L3→L4,Life-saving medical abortion,5.0
10,2,3,4,L3→L4,Life-saving medical abortion,10.0
11,2,3,4,L3→L4,Life-saving medical abortion,0.0
12,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
13,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
14,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
15,2,3,4,L3→L4,Life-saving medical abortion,10.0
16,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
17,2,3,4,L3→L4,Life-saving medical abortion,10.0
18,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
19,2,3,4,L3→L4,Life-saving medical abortion,10.0
20,2,3,4,L3→L4,Life-saving medical abortion,10.0
21,2,3,4,L3→L4,Life-saving medical abortion,10.0
22,2,3,4,L3→L4,Life-saving medical abortion,10.0
23,2,3,4,L3→L4,Life-saving medical abortion,10.0
24,2,3,4,L3→L4,Life-saving medical abortion,14.999999999999993
25,2,3,4,L3→L4,Life-saving medical abortion,5.0
26,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
27,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
28,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
29,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
30,2,3,4,L3→L4,Life-saving medical abortion,10.0
31,2,3,4,L3→L4,Life-saving medical abortion,10.0
32,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
33,2,3,4,L3→L4,Life-saving medical abortion,10.0
34,2,3,4,L3→L4,Life-saving medical abortion,20.0
35,2,3,4,L3→L4,Life-saving medical abortion,4.999999999999993
36,2,3,4,L3→L4,Life-saving medical abortion,10.0
37,2,3,4,L3→L4,Life-saving medical abortion,10.0
38,2,3,4,L3→L4,Life-saving medical abortion,10.0
39,2,3,4,L3→L4,Life-saving medical abortion,5.0
40,2,3,4,L3→L4,Life-saving medical abortion,5.0
41,2,3,4,L3→L4,Life-saving medical abortion,5.0
42,2,3,4,L3→L4,Life-saving medical abortion,5.0
43,2,3,4,L3→L4,Life-saving medical abortion,5.0
44,2,3,4,L3→L4,Life-saving medical abortion,10.0
45,2,3,4,L3→L4,Life-saving medical abortion,10.0
46,2,3,4,L3→L4,Life-saving medical abortion,10.0
47,2,3,4,L3→L4,Life-saving medical abortion,10.0
48,2,3,4,L3→L4,Life-saving medical abortion,10.0
49,2,3,4,L3→L4,Life-saving medical abortion,10.0
50,2,3,4,L3→L4,Life-saving medical abortion,10.0
1,2,4,5,L4→L5,Incest complications,10.0
2,2,4,5,L4→L5,Incest complications,10.0
3,2,4,5,L4→L5,Incest complications,5.000000000000007
4,2,4,5,L4→L5,Incest complications,10.0
5,2,4,5,L4→L5,Incest complications,10.0
6,2,4,5,L4→L5,Incest complications,10.0
7,2,4,5,L4→L5,Incest complications,10.0
8,2,4,5,L4→L5,Incest complications,10.0
9,2,4,5,L4→L5,Incest complications,10.0
10,2,4,5,L4→L5,Incest complications,10.0
11,2,4,5,L4→L5,Incest complications,10.0
12,2,4,5,L4→L5,Incest complications,10.0
13,2,4,5,L4→L5,Incest complications,10.0
14,2,4,5,L4→L5,Incest complications,5.0
15,2,4,5,L4→L5,Incest complications,10.0
16,2,4,5,L4→L5,Incest complications,10.0
17,2,4,5,L4→L5,Incest complications,10.0
18,2,4,5,L4→L5,Incest complications,5.0
19,2,4,5,L4→L5,Incest complications,10.0
20,2,4,5,L4→L5,Incest complications,10.0
21,2,4,5,L4→L5,Incest complications,10.0
22,2,4,5,L4→L5,Incest complications,10.0
23,2,4,5,L4→L5,Incest complications,10.0
24,2,4,5,L4→L5,Incest complications,10.0
25,2,4,5,L4→L5,Incest complications,10.0
26,2,4,5,L4→L5,Incest complications,10.0
27,2,4,5,L4→L5,Incest complications,10.0
28,2,4,5,L4→L5,Incest complications,10.0
29,2,4,5,L4→L5,Incest complications,10.0
30,2,4,5,L4→L5,Incest complications,10.0
31,2,4,5,L4→L5,Incest complications,10.0
32,2,4,5,L4→L5,Incest complications,10.0
33,2,4,5,L4→L5,Incest complications,10.0
34,2,4,5,L4→L5,Incest complications,5.0
35,2,4,5,L4→L5,Incest complications,10.0
36,2,4,5,L4→L5,Incest complications,10.0
37,2,4,5,L4→L5,Incest complications,10.0
38,2,4,5,L4→L5,Incest complications,10.0
39,2,4,5,L4→L5,Incest complications,10.0
40,2,4,5,L4→L5,Incest complications,10.0
41,2,4,5,L4→L5,Incest complications,10.0
42,2,4,5,L4→L5,Incest complications,10.0
43,2,4,5,L4→L5,Incest complications,10.0
44,2,4,5,L4→L5,Incest complications,10.0
45,2,4,5,L4→L5,Incest complications,10.0
46,2,4,5,L4→L5,Incest complications,10.0
47,2,4,5,L4→L5,Incest complications,10.0
48,2,4,5,L4→L5,Incest complications,10.0
49,2,4,5,L4→L5,Incest complications,10.0
50,2,4,5,L4→L5,Incest complications,10.0
1,3,1,2,L1→L2,Trauma,5.0
2,3,1,2,L1→L2,Trauma,5.0
3,3,1,2,L1→L2,Trauma,5.0
4,3,1,2,L1→L2,Trauma,5.0
5,3,1,2,L1→L2,Trauma,10.0
6,3,1,2,L1→L2,Trauma,5.0
7,3,1,2,L1→L2,Trauma,5.0
8,3,1,2,L1→L2,Trauma,5.0
9,3,1,2,L1→L2,Trauma,5.0
10,3,1,2,L1→L2,Trauma,5.0
11,3,1,2,L1→L2,Trauma,5.0
12,3,1,2,L1→L2,Trauma,5.0
13,3,1,2,L1→L2,Trauma,5.0
14,3,1,2,L1→L2,Trauma,5.0
15,3,1,2,L1→L2,Trauma,5.0
16,3,1,2,L1→L2,Trauma,5.0
17,3,1,2,L1→L2,Trauma,5.0
18,3,1,2,L1→L2,Trauma,5.0
19,3,1,2,L1→L2,Trauma,10.0
20,3,1,2,L1→L2,Trauma,5.0
21,3,1,2,L1→L2,Trauma,5.0
22,3,1,2,L1→L2,Trauma,5.0
23,3,1,2,L1→L2,Trauma,10.0
24,3,1,2,L1→L2,Trauma,5.0
25,3,1,2,L1→L2,Trauma,5.0
26,3,1,2,L1→L2,Trauma,5.0
27,3,1,2,L1→L2,Trauma,10.0
28,3,1,2,L1→L2,Trauma,5.0
29,3,1,2,L1→L2,Trauma,5.0
30,3,1,2,L1→L2,Trauma,5.0
31,3,1,2,L1→L2,Trauma,5.0
32,3,1,2,L1→L2,Trauma,5.0
33,3,1,2,L1→L2,Trauma,5.0
34,3,1,2,L1→L2,Trauma,5.0
35,3,1,2,L1→L2,Trauma,5.0
36,3,1,2,L1→L2,Trauma,5.0
37,3,1,2,L1→L2,Trauma,10.0
38,3,1,2,L1→L2,Trauma,5.0
39,3,1,2,L1→L2,Trauma,10.0
40,3,1,2,L1→L2,Trauma,5.0
41,3,1,2,L1→L2,Trauma,5.0
42,3,1,2,L1→L2,Trauma,5.0
43,3,1,2,L1→L2,Trauma,10.0
44,3,1,2,L1→L2,Trauma,5.0
45,3,1,2,L1→L2,Trauma,5.0
46,3,1,2,L1→L2,Trauma,5.0
47,3,1,2,L1→L2,Trauma,10.0
48,3,1,2,L1→L2,Trauma,5.0
49,3,1,2,L1→L2,Trauma,10.0
50,3,1,2,L1→L2,Trauma,5.0
1,3,2,3,L2→L3,Trauma as insurgent,5.0
2,3,2,3,L2→L3,Trauma as insurgent,5.0
3,3,2,3,L2→L3,Trauma as insurgent,5.0
4,3,2,3,L2→L3,Trauma as insurgent,5.0
5,3,2,3,L2→L3,Trauma as insurgent,5.0
6,3,2,3,L2→L3,Trauma as insurgent,5.0
7,3,2,3,L2→L3,Trauma as insurgent,5.0
8,3,2,3,L2→L3,Trauma as insurgent,5.0
9,3,2,3,L2→L3,Trauma as insurgent,5.0
10,3,2,3,L2→L3,Trauma as insurgent,5.0
11,3,2,3,L2→L3,Trauma as insurgent,5.0
12,3,2,3,L2→L3,Trauma as insurgent,5.0
13,3,2,3,L2→L3,Trauma as insurgent,5.0
14,3,2,3,L2→L3,Trauma as insurgent,5.0
15,3,2,3,L2→L3,Trauma as insurgent,5.0
16,3,2,3,L2→L3,Trauma as insurgent,5.0
17,3,2,3,L2→L3,Trauma as insurgent,5.0
18,3,2,3,L2→L3,Trauma as insurgent,5.0
19,3,2,3,L2→L3,Trauma as insurgent,5.0
20,3,2,3,L2→L3,Trauma as insurgent,5.0
21,3,2,3,L2→L3,Trauma as insurgent,5.0
22,3,2,3,L2→L3,Trauma as insurgent,5.0
23,3,2,3,L2→L3,Trauma as insurgent,5.0
24,3,2,3,L2→L3,Trauma as insurgent,5.0
25,3,2,3,L2→L3,Trauma as insurgent,5.0
26,3,2,3,L2→L3,Trauma as insurgent,5.0
27,3,2,3,L2→L3,Trauma as insurgent,5.0
28,3,2,3,L2→L3,Trauma as insurgent,5.0
29,3,2,3,L2→L3,Trauma as insurgent,5.0
30,3,2,3,L2→L3,Trauma as insurgent,5.0
31,3,2,3,L2→L3,Trauma as insurgent,5.0
32,3,2,3,L2→L3,Trauma as insurgent,5.0
33,3,2,3,L2→L3,Trauma as insurgent,5.0
34,3,2,3,L2→L3,Trauma as insurgent,5.0
35,3,2,3,L2→L3,Trauma as insurgent,5.0
36,3,2,3,L2→L3,Trauma as insurgent,5.0
37,3,2,3,L2→L3,Trauma as insurgent,5.0
38,3,2,3,L2→L3,Trauma as insurgent,5.0
39,3,2,3,L2→L3,Trauma as insurgent,5.0
40,3,2,3,L2→L3,Trauma as insurgent,5.0
41,3,2,3,L2→L3,Trauma as insurgent,5.0
42,3,2,3,L2→L3,Trauma as insurgent,5.0
43,3,2,3,L2→L3,Trauma as insurgent,5.0
44,3,2,3,L2→L3,Trauma as insurgent,5.0
45,3,2,3,L2→L3,Trauma as insurgent,5.0
46,3,2,3,L2→L3,Trauma as insurgent,5.0
47,3,2,3,L2→L3,Trauma as insurgent,5.0
48,3,2,3,L2→L3,Trauma as insurgent,5.0
49,3,2,3,L2→L3,Trauma as insurgent,10.0
50,3,2,3,L2→L3,Trauma as insurgent,5.0
1,3,3,4,L3→L4,Family killed in drone bombing,5.0
2,3,3,4,L3→L4,Family killed in drone bombing,5.0
3,3,3,4,L3→L4,Family killed in drone bombing,5.0
4,3,3,4,L3→L4,Family killed in drone bombing,5.0
5,3,3,4,L3→L4,Family killed in drone bombing,5.0
6,3,3,4,L3→L4,Family killed in drone bombing,5.0
7,3,3,4,L3→L4,Family killed in drone bombing,5.0
8,3,3,4,L3→L4,Family killed in drone bombing,5.0
9,3,3,4,L3→L4,Family killed in drone bombing,5.0
10,3,3,4,L3→L4,Family killed in drone bombing,5.0
11,3,3,4,L3→L4,Family killed in drone bombing,5.0
12,3,3,4,L3→L4,Family killed in drone bombing,5.0
13,3,3,4,L3→L4,Family killed in drone bombing,5.0
